		"Suspension"				"Biofilm"			
"hypD_b2729_at"	"hypD"	1075.3	773.7	890.1	689.6	689.7	814.3	931	788.9
"hypE_b2730_at"	"hypE"	663.8	553	782	968.1	518.5	589.4	804.3	786.2
"IG_1781_2851281_2851318_fwd_at"	"hypE"	1464.2	1061.1	1291.8	2593.6	1075.6	1810.8	2266.7	2087.6
"hypF_b2712_at"	"hypF"	200.1	188.9	243	202.5	158.8	207	256	341.4
"iadA_b4328_at"	"iadA"	519.8	811.4	85.7	63.9	806.2	760	118.4	245.1
"iap_b2753_at"	"iap"	134.5	108.4	200	220.1	170.7	137.3	120.7	463.3
"ibpA_b3687_at"	"ibpA"	277.9	409.1	600.7	640.1	792.5	557.1	736.2	622
"ibpB_b3686_at"	"ibpB"	127.9	273.2	330.9	440.1	294.4	494.7	487.9	550.9
"icc_b3032_at"	"icc"	1141	992.5	486.4	593.8	1067.5	1109.4	641.8	468.7
"icdA_b1136_at"	"icd"	6585.3	2569.1	1765.9	2169.2	4711.4	2513	1596.9	1607.3
"iciA_b2916_at"	"iciA"	153.7	165.6	145.2	226.2	187.4	184.7	236.3	273.4
"iclR_b4018_at"	"iclR"	334.6	367.8	137.7	434.1	637.5	708.5	163.4	275.4
"b2889_at"	"idi"	638.2	676	532	811.2	566.5	427	423.7	591.6
"idnD_b4267_at"	"idnD"	304.2	312.1	553.9	567.3	330	389	470	628.6
"idnK_b4268_at"	"idnK"	93.8	57.9	76.4	82.5	80	42.2	78.5	197.2
"idnO_b4266_at"	"idnO"	229.8	252.4	265.3	245.9	188.8	318.9	336.8	300.5
"idnR_b4264_at"	"idnR"	193.7	95.6	80	180.1	157.9	196.9	131.9	260.9
"idnT_b4265_at"	"idnT"	359.2	273.1	336.1	440	283.2	402.9	514.9	625.4
"himA_b1712_at"	"ihfA"	3478.3	3731.6	2829.8	3477.1	3755.7	2662.7	2670.2	2493
"himD_b0912_at"	"ihfB"	3169.1	1672.1	2027.8	7693	3007.3	1113.4	2705.2	5786.1
"ileS_b0026_at"	"ileS"	1520.8	1339.5	697.3	876.6	1134.1	1297.3	797.6	710.1
"ileT_b3852_s_at"	"ileT"	947	856.3	606.5	811.5	1206	980.2	585.9	607.1
"ileU_b3277_s_at"	"ileT"	842.9	782.6	669.6	1105.7	1362.2	973.2	748.2	688.9
"ileX_b3069_f_at"	"ileX"	39.5	31.7	49.4	87.8	81.1	28.3	231.2	297.5
"ileY_b2652_f_at"	"ileY"	215	313.9	500.2	701.1	252.5	501.8	740.3	633.2
"ilvA_b3772_at"	"ilvA"	188.7	228.7	114	174.3	134.1	293.9	188.3	277.1
"ilvB_b3671_at"	"ilvB"	1659.5	764.4	1279.2	2015.3	1780.6	758.7	1355	1674.5
"IG_2437_3954497_3955590_fwd_f_at"	"ilvC"	72.2	128	129.8	141.4	141.5	170.5	184.8	247.2
"ilvC_b3774_at"	"ilvC"	391.1	239.6	282.6	309	516.7	294	387.7	582.6
"ilvD_b3771_at"	"ilvD"	326.1	698.4	372.7	447.3	189.7	499.8	319.1	572.3
"ilvE_b3770_at"	"ilvE"	537.3	464	585.2	436.9	423.4	417.3	515.3	496.1
"ilvG_1_b3767_at"	"ilvG"	523.1	361.6	240.1	152.5	527	343.6	210.7	276.7
"ilvH_b0078_at"	"ilvH"	146.7	207.1	316.5	273.4	110.5	265.8	257.4	467.7
"ilvI_b0077_at"	"ilvI"	103.7	49.1	55.8	110.2	26.6	95.5	50.8	259.7
"ilvL_b3766_at"	"ilvL"	3042.5	1310.4	1238.9	1295.4	1921.5	856.5	1660.5	868.7
"ilvM_b3769_at"	"ilvM"	242.4	236.2	270.8	293.1	310.1	338.7	263.2	384.3
"ilvN_b3670_at"	"ilvN"	700	414.8	448.2	787.6	716.5	518.6	447.9	823
"ilvY_b3773_at"	"ilvY"	198.2	311	365.1	126.9	161.4	392.8	219.9	282.4
"imp_b0054_at"	"imp"	1558.6	1725.5	1729.5	1012	1555.6	1688.3	1297.6	1010.4
"inaA_b2237_at"	"inaA"	539.6	855	954.5	1018.2	479.1	857.4	1090.5	1036.4
"infA_b0884_at"	"infA"	725.6	1062.3	526	344.7	2088	1016.5	454.6	473.2
"infB_b3168_at"	"infB"	1492.5	1259.9	1480.1	1175.4	963.3	1382.2	1088.5	915.1
"infC_b1718_at"	"infC"	8048.2	11149.3	8133.4	5572.7	9063.1	7888	6662.1	3252
"INM13X_I_at"	"INM13X_I_at"	9.6	4.9	11.3	5.1	9.5	20	29.8	0.9
"INM13X_II_3_at"	"INM13X_II_3_at"	13.3	3.6	18.4	9.8	15.1	18.8	7.2	6.8
"INM13X_II_5_at"	"INM13X_II_5_at"	4.7	9.9	36.5	1.1	0.8	17.6	15.7	1
"INM13X_III_at"	"INM13X_III_at"	2.5	11.1	12.6	8.4	6.8	40.5	25.5	7.7
"INM13X_IV_at"	"INM13X_IV_at"	24.9	8.6	16.2	12.8	7.1	9.1	23.2	12.1
"INM13X_IX_at"	"INM13X_IX_at"	47.9	116.5	214.6	229.8	12	135.7	234.3	84.9
"INM13X_V_at"	"INM13X_V_at"	19.7	6.3	32.1	4.4	5.8	20.1	7.9	9.5
"INM13X_VI_at"	"INM13X_VI_at"	1.5	3.2	9.1	32.8	6.8	7.6	3	0.8
"INM13X_VII_at"	"INM13X_VII_at"	2.2	6.2	4.9	8.1	2.2	3.6	21.5	5.8
"INM13X_VIII_at"	"INM13X_VIII_at"	58.9	64	49.2	182.1	46.2	16.2	81.6	79.1
"insA_1_b0022_s_at"	"insA"	533.5	546.9	343.2	446.5	742.7	779.8	378.2	734.2
"insA_2_b0265_s_at"	"insA"	622.5	539.5	374.6	471.3	684.2	675.3	480.8	914.9
"insA_5_b1894_s_at"	"insA"	384	458	220.2	242.3	529.4	610.6	404.3	754.7
"yi21_1_b0360_s_at"	"insC1"	859.8	565	771.1	695	933.8	601.2	649.5	814.7
"yi21_5_b3044_s_at"	"insC1"	1949.9	2062.7	2370.4	2310.3	2108.6	2389.7	2900.9	2884.9
"yi21_6_b4272_s_at"	"insC1"	1992.7	2390.5	2809.3	2478	1774.6	2052.3	2270.6	2724.8
"yi22_1_b0361_s_at"	"insD1"	938.1	932	1638.6	2478.5	1356.9	1229.9	2266.9	1923.2
"yi22_4_b2860_s_at"	"insD1"	824.4	1008.6	1132.5	1625.5	1039.7	1435.7	1595.6	2896.3
"b0373_s_at"	"insE1"	1149.1	960.4	1186	2065.1	970.6	1331.5	1358.6	2085.2
"tra5_1_b0372_s_at"	"insF1"	483	460.9	878.1	1082	567.9	928.5	1041.8	1579.4
"tra5_3_b1026_s_at"	"insF1"	32.8	445.7	621.7	182.7	27.5	1158.4	524.8	943
"trs5_5_b1370_at"	"insH1"	110.9	111.5	42.6	72	21.7	194.1	40.5	171.5
"trs5_8_b2192_s_at"	"insH1"	6996.1	7502	5762.4	9145.1	7606.5	11429.5	6552.7	4930.2
"yi5A_b3557_at"	"insJ"	183.5	219.6	336.4	355.9	179.2	245.1	314.2	499.5
"t150_b3558_at"	"insK"	36.8	34.6	101.7	103.6	46.4	95.5	124.4	295.6
"yi81_1_b0016_s_at"	"insL1"	953.2	1407.3	1059.9	800.2	1316.9	1189.4	1075.7	1495.2
"IG_2799_4506186_4508257_rev_at"	"insM"	75.3	86.9	111.6	180	75	135	144.3	229.1
"IG_938_1498474_1502928_rev_at"	"insP"	69.4	100.1	202.6	355.6	101.3	140	261.2	413.2
"b1432_at"	"insQ"	183.8	326.8	114.1	278.8	344.8	323.9	17.9	387.3
"IG_178_279100_279608_rev_f_at"	"insX"	516.8	455.4	371	414.9	459.7	460.3	390.5	504.9
"intA_b2622_at"	"intA"	367.3	366.5	384.1	225.5	349.7	233.2	284.2	386.4
"intB_b4271_at"	"intB"	104.9	101.6	98.2	170.6	164.1	187.1	111.8	259.8
"intD_b0537_at"	"intD"	132.7	127.5	185.8	332.6	107.4	123	140.3	483.3
"intE_b1140_at"	"intE"	51.7	43.2	64.5	122.4	37.6	83.9	69.1	127
"intF_b0281_at"	"intF"	461.2	327.8	243.3	402.6	602.1	269.7	275.6	465
"b1936_at"	"intG"	55.7	147.9	228.1	307.6	114.9	123.6	275.6	332.3
"b1567_at"	"intK"	63.1	71.6	101.9	145.8	69.8	96	135	309.8
"b1579_at"	"intQ"	80.8	115.7	199.1	261.5	108.8	121.7	217	496.3
"b1345_at"	"intR"	189	282	235.9	372.8	157.5	319.4	362	401.2
"intC_b2349_at"	"intS"	143.3	123.1	185.5	261.6	125	179.7	332.3	448.5
"b2442_at"	"intZ"	89.5	291	74	285.3	120	498.2	245.3	182.4
"ychB_b1208_at"	"ipk"	2593.6	2053.6	1763.7	899.8	2948.1	1654.7	1799.6	927.7
"yjiD_b4326_at"	"iraD"	119.9	63.9	1104.8	503.8	156.2	103.7	1262.5	521.2
"ycgW_b1160_at"	"iraM"	19.5	23.8	64.6	143.6	13.9	41.7	9	231.8
"yfhF_b2528_at"	"iscA"	1200.6	1998	4350.4	9914.3	2480.5	3417.3	3516.8	6846.7
"ispA_b0421_at"	"ispA"	606.8	942.1	696.7	513.3	978.6	816.4	657.3	454.7
"ispB_b3187_at"	"ispB"	705.1	827.7	558.6	573	1037.5	981.2	639.4	674
"ygbP_b2747_at"	"ispD"	511.7	417.2	324.2	280	547.4	687.5	250.4	326.7
"ygbB_b2746_at"	"ispF"	663.1	381.3	262.5	225.2	630.3	465	382.5	358.1
"gcpE_b2515_at"	"ispG"	651.5	1356	1742.6	1433.8	683.8	1335.3	1316.6	1176.1
"lytB_b0029_at"	"ispH"	423.4	310.7	353.6	494.2	402.9	387.3	602.4	635.7
"yciB_b1254_at"	"ispZ"	474.7	753.3	980	598.2	671.7	679.9	658.2	687.4
"ivbL_b3672_at"	"ivbL"	9181.1	2549.8	5086.5	10445.2	7451.5	2137.9	5417.9	6520.2
"b1152_at"	"jayE"	275	194.3	340.3	468.1	249.4	210.2	202.1	468.5
"katE_b1732_at"	"katE"	2249.5	2066.3	2017.1	667.8	1672.1	1421.2	1579	754.5
"katG_b3942_at"	"katG"	3814.6	1006.8	506.4	703.9	1834.7	1019.2	546.6	497.1
"agaY_b3137_at"	"kbaY"	98	29	60.8	259.8	32.7	147.7	174.4	445.3
"kbl_b3617_at"	"kbl"	3275.9	2387.7	1974.7	2054	2103.1	2363.6	1987	1683.4
"kch_b1250_at"	"kch"	615.7	329.2	293.4	268.1	683.2	230.7	260.6	489.4
"kdgK_b3526_at"	"kdgK"	586.1	144.4	99.1	412	539.2	217.5	215	302.3
"kdgT_b3909_at"	"kdgT"	104.3	98.8	117.9	201.5	148.2	164.1	230.1	267.4
"kdpA_b0698_at"	"kdpA"	125.1	190	277.1	314.2	132.8	175.6	271.4	420.1
"kdpB_b0697_at"	"kdpB"	79.6	20.4	176.5	36.1	18.7	88.9	62.3	196.8
"kdpC_b0696_at"	"kdpC"	528.4	757.4	1085.8	1050.4	494.8	643.5	1099.7	1182.8
"kdpD_b0695_at"	"kdpD"	664.3	979.6	1531	1406.6	493.2	765.1	1334.9	1110.4
"kdpE_b0694_at"	"kdpE"	534.5	566	861.4	524.8	648	579.6	617.5	982.4
"kdsA_b1215_at"	"kdsA"	690.6	541.4	510.9	511.2	659.1	468.9	474.8	436.7
"kdsB_b0918_at"	"kdsB"	521.3	630.4	514.6	429	688.3	504.7	415.8	365.2
"kdtA_b3633_at"	"kdtA"	605	452.8	1509.6	1008.4	724.1	644.6	1437.9	1088
"kduD_b2842_at"	"kduD"	102.7	109	66	149.6	46.2	81.8	196	275.6
"kduI_b2843_at"	"kduI"	169.2	134.3	114.3	280.1	153	209.2	249.8	239.8
"kefB_b3350_at"	"kefB"	495.7	459.5	434.8	426.7	434.1	632.6	542.3	434.3
"kefC_b0047_at"	"kefC"	463.9	491	502.2	398.5	333.9	425.7	423	643.1
"yheR_b3351_at"	"kefG"	275.4	240.1	481.5	413	254.5	581.8	627	566.7
"kgtP_b2587_at"	"kgtP"	3461.2	3925.9	4933.9	2300.1	2503.3	4549.1	3564.6	1704.2
"ydaD_b1352_at"	"kil"	112.3	97	144.3	177.2	146.2	129.2	133.5	342.2
"yjiI_b4331_at"	"kptA"	130.3	253.6	295.2	163.5	178.4	305.4	291.6	369
"ksgA_b0051_at"	"ksgA"	902.7	1625.6	2695.9	1762.2	1315.6	1156.4	2800.3	1553.8
"lacA_b0342_at"	"lacA"	8.8	15.5	17.9	150.2	33.4	54	119.4	223.5
"lacI_b0345_at"	"lacI"	266.4	239.7	241.2	220.6	244.6	195.1	500.3	296.7
"lacY_b0343_at"	"lacY"	41.1	17.7	85.9	203.3	67.6	71.2	146.9	373.9
"lacZ_b0344_at"	"lacZ"	151.8	108.5	106.7	77.6	215.5	185.6	282.2	363.9
"lamB_b4036_at"	"lamB"	4280	72.1	221.9	362.5	834.9	217.5	184	468
"LAMCG_ea31_c_at"	"LAMCG_ea31_c_at"	19.4	7.6	14.1	17.5	15	2.6	4.6	6.3
"LAMCG_ea59_c_at"	"LAMCG_ea59_c_at"	9.3	9.3	35.4	11.7	3	2.3	30.4	2.9
"LAMCG_Fii_w_at"	"LAMCG_Fii_w_at"	100.9	45.4	87.9	234.3	175	62.5	124.2	101.5
"LAMCG_J_w_at"	"LAMCG_J_w_at"	76.2	82.7	41.7	194.2	51.1	94.9	211.4	110.4
"LAMCG_mRNA-pl_c_at"	"LAMCG_mRNA-pl_c_at"	29.5	4.7	73.8	51	20.4	4.8	4.1	8.5
"LAMCG_mRNA-pr_w_at"	"LAMCG_mRNA-pr_w_at"	78.2	152.8	229.3	267	86.8	158.8	181.4	145.2
"LAMCG_Q_w_at"	"LAMCG_Q_w_at"	17.7	22.5	22.6	37.6	43.4	12.4	20	33.4
"LAMCG_R_w_at"	"LAMCG_R_w_at"	6.8	6	6.4	8	4	7.9	6.1	6.1
"lar_b1348_at"	"lar"	96.9	66.2	129.2	215.1	69.3	121.1	184.2	351.5
"lasT_b4403_at"	"lasT"	465.6	297.7	360.1	403	489.4	304.6	381.4	503.4
"b1192_at"	"ldcA"	158.3	250.5	271.8	252.8	431.1	282.4	182.9	363.3
"ldcC_b0186_at"	"ldcC"	959.4	1223.7	1058.9	508.2	871.3	1149.9	777.2	516.6
"ldhA_b1380_at"	"ldhA"	789.7	688	662.2	767.3	761.5	640.1	752.3	610.2
"lepA_b2569_at"	"lepA"	646.1	548.6	546.1	391.8	539.6	790	358.9	458.3
"lepB_b2568_at"	"lepB"	574.9	756.5	595.8	738	669.1	745.8	697.6	792.7
"leuA_b0074_at"	"leuA"	371.7	548	759.5	472.1	294.3	295.3	735.5	646.7
"leuB_b0073_at"	"leuB"	208.4	232.9	281.2	228.1	205.4	144.4	387.6	278.2
"leuC_b0072_at"	"leuC"	530	597.9	597.5	764.3	551.4	420.4	678.6	725.2
"leuD_b0071_at"	"leuD"	167.9	257.9	259.2	244.9	210.4	203.8	334.8	296.5
"leuL_b0075_at"	"leuL"	72.2	55.7	86.8	124.5	21.3	39.4	140.8	138.6
"leuO_b0076_at"	"leuO"	148.8	127.5	118.4	137.1	116.6	94.2	131.1	175.8
"leuP_b4369_f_at"	"leuP"	1816.1	1711.4	945	1027.2	1253.8	1210	1081.8	900.2
"leuQ_b4370_s_at"	"leuQ"	816.9	1351.1	833.4	1011.2	694.3	795.2	879.4	589.9
"leuS_b0642_at"	"leuS"	1094.8	2023.5	1921.8	1185.5	1216	1512.1	1305.5	909.7
"leuT_b3798_s_at"	"leuT"	1620.6	1615.9	1007.6	1689.8	1238.1	1054.5	1067.4	1004.5
"leuU_b3174_at"	"leuU"	2.8	5.7	11.6	10.4	3.2	5.9	6.4	5.5
"leuV_b4368_s_at"	"leuV"	841.9	1317	856.9	1019	816.3	719	902.7	452
"leuX_b4270_at"	"leuX"	114.5	206.9	441.4	345.4	182.7	250.6	481.2	384.5
"leuZ_b1909_at"	"leuZ"	346.1	199.9	194	319.8	355.2	20.9	17.9	82.3
"lexA_b4043_at"	"lexA"	633.2	545.6	515.4	597.6	842	691.5	434.8	723.4
"fhiA_b0229_at"	"lfhA"	165.8	115.5	139.9	216.9	64	48	51.8	397.7
"lgt_b2828_at"	"lgt"	410.4	447.4	287.1	55.5	583.4	712.1	244.3	192.3
"lhr_b1653_at"	"lhr"	63.6	159.5	138.6	241.6	72.2	206.5	276.9	216.8
"lig_b2411_at"	"ligA"	559.5	915	1170.2	1485.4	362.2	1100.5	1326.6	1210.3
"yicF_b3647_at"	"ligB"	49.8	104.5	110.4	221.3	19.5	129.9	177.4	267.7
"lipA_b0628_at"	"lipA"	489.1	312.2	110.8	130.1	202.1	252.2	327	214.9
"lipB_b0630_at"	"lipB"	131.9	199.9	294.9	349.2	105.1	278.8	250.7	425.2
"lit_b1139_at"	"lit"	130.6	39.7	37.7	86.2	78.7	45	69.1	190.1
"livF_b3454_at"	"livF"	530.5	541.6	637.2	955.2	365.6	718.7	764.1	1076.1
"livG_b3455_at"	"livG"	208.1	121.6	248.6	291.8	152.5	217.8	213.6	469.1
"livH_b3457_at"	"livH"	280.8	134.6	302.2	174.3	359	342.8	287.7	374.4
"livJ_b3460_at"	"livJ"	426.9	391.6	445.7	533	396.1	627.4	544	713.8
"livK_b3458_at"	"livK"	136.1	32.6	163.5	384.9	157	259.8	292.1	301.3
"livM_b3456_at"	"livM"	157.1	207.3	284.3	450.9	138.3	266.5	310.3	420.7
"lldD_b3605_at"	"lldD"	74.8	571.4	803.8	1002.8	156.7	473.4	785.2	750.5
"lldP_b3603_at"	"lldP"	184.7	406.6	627.7	753.3	197.1	361.9	575.3	663.6
"lldR_b3604_at"	"lldR"	197.4	402.5	540.2	921.1	225.5	287.3	588	577.3
"lnt_b0657_at"	"lnt"	400.3	377.1	301.5	564	319.9	278.6	322.9	518.9
"lolA_b0891_at"	"lolA"	1071.9	1312.6	1160.1	752.7	1246.4	1527.7	978.8	693.9
"hemM_b1209_at"	"lolB"	884.6	1255.6	1589.5	763.4	994.6	1083.5	1091.4	692.9
"ycfV_b1117_at"	"lolD"	391.3	460.4	468.9	412.9	402.1	591.5	162.9	345.5
"ycfW_b1118_at"	"lolE"	598.4	528.9	544.6	318.2	604.6	470.9	379.6	392.9
"b1369_at"	"lomR"	51.1	68.7	89.2	285.8	90.7	207.5	172.8	221.9
"b1371_at"	"lomR"	36.6	72.2	226.1	378.4	154.7	127	214.2	245
"IG_899_1425638_1426546_fwd_at"	"lomR"	28.6	32.6	30	86.3	52.8	78.8	98.5	158.8
"lon_b0439_at"	"lon"	1603.9	2054.3	1569.3	695	1257.6	1550.1	1119.2	603.6
"lpdA_b0116_at"	"lpdA"	4680.5	1907.2	1100.5	1096.3	2594.2	1893.2	1099.9	1057.9
"lplA_b4386_at"	"lplA"	341.8	339.2	261.6	457.9	242.4	439.2	351.3	540.5
"lpp_b1677_at"	"lpp"	16188.7	12793.6	4551.8	4883.3	13989.3	6093.9	5525.5	2658.4
"lpxA_b0181_at"	"lpxA"	539.8	595.5	675.2	683.9	546	552.5	474.1	472.7
"lpxB_b0182_at"	"lpxB"	362.9	621.9	286.1	258.5	520.5	315.8	315.6	275
"lpxC_b0096_at"	"lpxC"	2445.9	3349.8	5244.9	11095.8	1645.9	3009.1	3041.4	6884
"lpxD_b0179_at"	"lpxD"	1568.9	1833.2	2066.5	1018.2	1823.3	1066.7	1399.3	1004.1
"ybbF_b0524_at"	"lpxH"	261.9	495.1	462.9	785	346.7	628.7	680.3	665.8
"ycaH_b0915_at"	"lpxK"	364.8	450.1	588.8	806.1	470	609.5	577	753.8
"lrhA_b2289_at"	"lrhA"	913.6	465.4	414.6	524.5	646.1	417.5	668.5	498.6
"lrp_b0889_at"	"lrp"	663.6	731.2	445.5	268.4	579.3	388.3	390.9	310.3
"lspA_b0027_at"	"lspA"	892.3	911	580.1	184.4	894.3	1041.6	760.4	585.2
"b1513_at"	"lsrA"	238.5	274.7	101.2	183.6	199.2	362.4	97.6	321.3
"b1516_at"	"lsrB"	1028.8	820.6	252.3	342.3	940.8	839.1	328.5	473.7
"lysA_b2838_at"	"lysA"	30.2	78.2	45.1	303.4	114.3	36.1	66.4	84.7
"lysC_b4024_at"	"lysC"	41.9	111	42	204.7	59.5	188.1	93.8	342.4
"lysP_b2156_at"	"lysP"	334.1	442.9	605.9	515	298.8	381.1	326	485.1
"lysQ_b0749_s_at"	"lysQ"	4236.7	4432.2	3823.2	3997	8074.4	3856.7	4519	2458.3
"lysR_b2839_at"	"lysR"	197.9	129.9	137.2	379.8	207.4	150.8	207.6	414.9
"lysS_b2890_at"	"lysS"	455.7	555.6	293.3	246.6	522.9	597.3	245.3	208.8
"lysU_b4129_at"	"lysS"	2394.2	1813.9	1062	466.4	2521.7	1584.1	917.1	692.9
"lysW_b0745_s_at"	"lysW"	3943.1	3944.5	3735.2	3350.8	6922.9	3604.6	4250.5	1934.7
"lysT_b0743_s_at"	"lysY"	4377.2	4221.9	3828	3429	7901.9	4029.4	4433.9	2214.8
"lysY_b0747_s_at"	"lysY"	4611.3	4527	4606.7	3878.7	9186.1	4532.9	4887.2	2725.4
"lysZ_b0748_s_at"	"lysY"	3560.2	3998.8	4019.5	3524.6	8532.4	3546.1	4483.1	2910.8
"lyxK_b3580_at"	"lyxK"	116.5	154.9	147.7	269.7	61	196.1	209	296.7
"b0878_at"	"macA"	382.6	370.3	458.3	368.8	454.8	332.7	222.8	551.4
"IG_586_921517_922135_fwd_at"	"macB"	229.6	366.8	511.9	355.1	338	408.6	415	306.4
"ybjZ_b0879_at"	"macB"	541.3	857.9	917.2	655.8	515.6	742	855.7	674.4
"sfcA_b1479_at"	"maeA"	1550.9	475.6	283.7	320.8	810.6	692.2	402.4	421.6
"b2463_at"	"maeB"	3561.9	667.2	463.7	670	1449	908.7	489.8	592.7
"yceF_b1087_at"	"maf"	528.4	304.1	427.9	428.9	458.8	168.9	323.9	340.3
"yhdE_b3248_at"	"maf"	491.1	326.6	701.9	424.4	552.5	351.9	431.4	356.2
"malE_b4034_at"	"malE"	7198.1	197.4	276.4	169.2	853.9	343.5	157.2	355.5
"malF_b4033_at"	"malF"	943.8	238.5	254.2	185.6	250.9	388.1	215.4	310.7
"malG_b4032_at"	"malG"	1607.9	296.2	301.1	212.5	340.3	353.9	399.8	413.9
"malI_b1620_at"	"malI"	260.2	225.3	267	555.4	222.7	357.2	496.6	476.7
"malK_b4035_at"	"malK"	2438	22.6	43.2	32.7	379.9	97.9	47.9	81.2
"malM_b4037_at"	"malM"	1205.6	313.4	369.1	455	457.9	355.9	430.9	438.9
"malP_b3417_at"	"malP"	976.7	429.1	452.4	287.5	303.2	559.2	373.7	292.8
"malQ_b3416_at"	"malQ"	755.1	409.2	405.4	369.5	372.8	629.5	269.8	330.8
"malS_b3571_at"	"malS"	256.8	143.8	170.7	304.4	170.3	205.2	250.8	398.3
"malT_b3418_at"	"malT"	816.9	313.6	273.4	311.5	511.6	421.5	274.5	437.2
"IG_1070_1689385_1697378_fwd_f_at"	"malX"	56	83.1	123.1	206.3	63	140.6	162.6	279.4
"malX_b1621_at"	"malX"	253	297.3	236.1	373.1	197.2	249	272.8	452.7
"malY_b1622_at"	"malY"	134	146.5	105.6	196.4	121.8	95.2	145.5	240.4
"malZ_b0403_at"	"malZ"	335.5	355.8	455.6	526.3	300.7	358.7	427.4	548.2
"manA_b1613_at"	"manA"	1003.9	741.1	530.2	720.7	783.7	509.3	458.9	676.2
"manX_b1817_at"	"manX"	3622.7	1533.1	818.4	766.5	2407.4	1830.5	692.7	755.7
"manY_b1818_at"	"manY"	3118	1469.8	784.6	896.1	1844.4	1756.6	889.8	872.8
"manZ_b1819_at"	"manZ"	324.1	126.4	81.4	50.5	255.2	206.8	68.6	88.3
"map_b0168_at"	"map"	407.5	806.2	663.6	959	544.4	570.8	535.4	842.8
"marA_b1531_at"	"marA"	657.4	326.7	318.8	712.3	671.7	329.7	364	570.6
"marB_b1532_at"	"marB"	300.1	255.1	320.5	465.8	589	398.4	388.3	400.1
"ydeB_b1529_at"	"marC"	300	407.8	790.7	635.8	384.1	405.8	472.5	451
"marR_b1530_at"	"marR"	368.2	243	272.7	739.4	593.1	280.9	294.8	625.8
"mazG_b2781_at"	"mazG"	815.9	831.4	1018.1	813.4	665.3	620.1	698.4	821
"mbhA_b0230_at"	"mbhA"	181.3	105.5	341.9	420.1	83.3	301.5	351	747.3
"IG_881_1402605_1404586_rev_at"	"mcaS"	69.9	87.2	83.8	278.9	52.4	167	229.1	409.9
"mcrA_b1159_at"	"mcrA"	64.5	25.3	128.6	146	63.6	79.3	102.2	342.2
"mcrB_b4346_at"	"mcrB"	135.5	49.5	107	151.8	145.6	140.2	151.3	274.6
"mcrC_b4345_at"	"mcrC"	83.1	69.7	63.2	170.2	64.8	121.1	102.7	310.2
"mdaA_b0851_at"	"mdaA"	880.2	556.7	539.6	456.9	715.4	599.1	352.3	354.7
"mdaB_b3028_at"	"mdaB"	673.8	504.3	796.7	624.8	664.1	414	741.6	783.2
"mdh_b3236_at"	"mdh"	8442.5	4051.2	3520.3	4219.9	5039.1	3658.4	2763.9	3431.1
"mdlA_b0448_at"	"mdlA"	195.7	219.6	245.7	196.6	133.3	203.2	188.6	316.1
"mdlB_b0449_at"	"mdlB"	226.7	234.2	138.4	216	158.1	265.5	252.6	233.7
"mdoB_b4359_at"	"mdoB"	821.8	429.3	299.5	363.3	997.5	475.2	440.6	546.4
"ymdD_b1047_at"	"mdoC"	141.4	102	164.5	314.2	170.3	156.5	293.2	339.2
"ydcG_b1424_at"	"mdoD"	160.6	78.2	107.2	41	200.3	107.2	97.8	133.2
"mdoG_b1048_at"	"mdoG"	2383.2	2121.3	2103.9	1232.1	2645.7	1578	1767.4	1269.4
"yegN_b2075_at"	"mdtB"	36.8	229.8	45.4	71.6	150.8	200.4	192.7	314.6
"yegO_b2076_at"	"mdtC"	240.1	362.4	367	405.3	230.6	346.7	368.6	418.8
"b1600_at"	"mdtJ"	232.3	182	229.3	350.4	152.5	290.8	298.1	471.2
"yjiO_b4337_at"	"mdtM"	186.4	174.5	305	197.6	168.5	323.9	199.9	362.4
"melA_b4119_at"	"melA"	1005.5	422	367	531.8	511.1	548.9	366.4	654.7
"melB_b4120_at"	"melB"	201.1	203.7	166.6	233	202.3	259.9	206.1	307.4
"melR_b4118_at"	"melR"	286.5	160.7	54.9	193.2	110.1	306.8	101.3	279.3
"menA_b3930_at"	"menA"	171.1	279.9	243.9	440.4	234.3	310	345.5	364.9
"menB_b2262_at"	"menB"	1164.1	992.9	857.7	915.1	966.3	922.4	999.5	663.2
"menC_b2261_at"	"menC"	1129.9	1157.3	814.2	558.2	854.7	973.3	999.2	537.7
"IG_1477_2377280_2377367_rev_at"	"menD"	198.3	220.1	194.9	88.6	263.8	192	104.4	162.4
"menD_b2264_at"	"menD"	415.9	477.3	257.9	321.2	468.8	452.1	294.7	411.5
"menE_b2260_at"	"menE"	451.3	283.5	353.1	490.9	299.8	363.1	297.9	541.2
"IG_1478_2378439_2378741_rev_at"	"menF"	1864.5	2591	3941.3	1742	2317.8	1855.5	2098.9	1342.6
"menF_b2265_at"	"menF"	490.2	596.7	533.1	439.5	425.1	830.8	413	460
"menG_b3929_at"	"menG"	1356.5	2430.8	2333.8	1727.9	1077.2	1975.4	1757.9	1606.9
"yfbB_b2263_at"	"menH"	370.3	402.3	372.5	388.6	471.4	467.9	319.4	388.5
"mepA_b2328_at"	"mepA"	327.5	308.4	217	326.8	306	358.8	245.6	319
"metA_b4013_at"	"metA"	185.1	164.9	262	349.7	209.1	273	291.9	453.7
"metB_b3939_at"	"metB"	355.5	306.6	272.3	234.8	407.1	341.5	288.8	279.8
"IG_1955_3148983_3150250_fwd_at"	"metC"	26.3	79.1	155.1	157.8	37.1	96	146.3	174.5
